Iteration,SMOTE,Model,Metric,Score,Rank
4,True,AdaBoost,precision_macro,0.6856373399224287,84.0
2,True,K-Nearest Neighbors,precision_macro,0.6855914158035251,85.0
0,True,Support Vector Machine,precision_macro,0.6854032522539681,86.0
0,True,Gaussian Naive Bayes,precision_macro,0.6853762560047739,87.0
0,False,Decision Tree,precision_macro,0.6853498758854755,88.0
0,False,AdaBoost,precision_macro,0.6853366322271773,89.0
2,True,Support Vector Machine,precision_macro,0.6851721187881916,90.0
2,False,Stochastic Gradient Descent,precision_macro,0.6851229711975665,91.0
4,True,MLP Classifier,precision_macro,0.6849620695105028,92.0
0,False,Logistic Regression,precision_macro,0.6849314661776453,93.0
2,True,Gaussian Naive Bayes,precision_macro,0.6847846062519116,94.0
4,True,Gaussian Naive Bayes,precision_macro,0.6846968850208631,95.0
2,True,Gradient Boosting,precision_macro,0.6845499724332271,96.0
0,True,Stochastic Gradient Descent,precision_macro,0.6845250815235697,97.0
0,True,AdaBoost,precision_macro,0.6845162643244846,98.0
0,True,XGBoost,precision_macro,0.6844792733319486,99.0
2,True,Random Forest,precision_macro,0.6843324878021203,100.0
2,True,Stochastic Gradient Descent,precision_macro,0.6842194635053074,101.0
2,True,AdaBoost,precision_macro,0.6838169947560621,102.0
0,False,Random Forest,precision_macro,0.6837199551339987,103.0
2,True,XGBoost,precision_macro,0.6836581815353714,104.0
4,True,Stochastic Gradient Descent,precision_macro,0.6831605435257952,105.0
2,True,Decision Tree,precision_macro,0.6830731136889983,106.0
0,True,MLP Classifier,precision_macro,0.6828689337390454,107.0
0,True,Logistic Regression,precision_macro,0.6827839997356484,108.0
0,True,K-Nearest Neighbors,precision_macro,0.6826889038416956,109.0
2,True,MLP Classifier,precision_macro,0.6823967239443522,110.0
3,False,Logistic Regression,recall_macro,0.643839503178986,1.0
2,False,Support Vector Machine,recall_macro,0.6434249746986989,2.0
3,False,Random Forest,recall_macro,0.643208403960075,3.0
2,False,AdaBoost,recall_macro,0.6431036291790315,4.0
3,False,Gaussian Naive Bayes,recall_macro,0.6429954027976288,5.0
2,False,Logistic Regression,recall_macro,0.6428838287549024,6.0
3,True,Support Vector Machine,recall_macro,0.6425770331405549,7.0
