,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_clip_obs,params_ent_coef,params_gae_lambda,params_gamma,params_initialization_strategy,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_max_ingredients,params_n_steps,params_net_arch_depth,params_net_arch_width,params_norm_reward,params_normalize_advantage,params_ortho_init,params_rms_prop_eps,params_sde_sample_freq,params_use_rms_prop,params_use_sde,params_vf_coef,state
45,45,270.384906,2024-07-01 10:40:59.335784,2024-07-01 10:57:13.687142,0 days 00:16:14.351358,tanh,50.0,0.0018357768861263833,0.98,0.9546839045494095,,0.002982575393434475,linear,0.5,6,20.0,1.0,256.0,False,False,False,0.0004828255979220379,72.0,True,True,0.5124018096655767,COMPLETE
46,46,269.03128200000003,2024-07-01 10:53:18.757038,2024-07-01 11:08:53.812734,0 days 00:15:35.055696,elu,100.0,0.00011017848326759197,0.98,0.9869621821602146,,0.00026653826333663524,constant,0.9,8,50.0,2.0,8.0,False,True,True,0.009274566794334102,29.0,False,True,0.37371943207431607,COMPLETE
47,47,271.67802420000004,2024-07-01 10:55:03.321913,2024-07-01 11:10:22.813623,0 days 00:15:19.491710,relu,100.0,3.217224892104862e-05,0.98,0.9771709650649637,,0.020377698810472033,constant,0.9,8,50.0,2.0,256.0,False,False,True,0.04480406492271391,12.0,True,False,0.39044797292750205,COMPLETE
48,48,8.0,2024-07-01 10:57:13.737448,2024-07-01 11:12:44.746391,0 days 00:15:31.008943,relu,10.0,0.014801270511777669,1.0,0.98859427685586,,0.004740870645611188,linear,2.0,8,50.0,2.0,512.0,False,True,True,0.009976925896466003,31.0,False,False,0.3132684585392985,COMPLETE
49,49,215.3327292,2024-07-01 11:08:53.865645,2024-07-01 11:28:13.928325,0 days 00:19:20.062680,tanh,50.0,0.0014867703628976868,0.98,0.9738421750450651,,0.007104161022234038,linear,0.9,8,20.0,2.0,256.0,False,False,False,0.0036324406850991183,66.0,True,True,0.9244457658251838,COMPLETE
50,50,56.199077599999995,2024-07-01 11:10:22.859148,2024-07-01 11:24:10.123365,0 days 00:13:47.264217,relu,10.0,1.3439016421182136e-05,0.98,0.9693796699759237,,0.013544173177936077,constant,2.0,8,50.0,1.0,256.0,True,False,True,0.003291745729422669,9.0,True,False,0.3590413012856276,COMPLETE
51,51,8.86884,2024-07-01 11:12:44.790429,2024-07-01 11:28:14.157095,0 days 00:15:29.366666,elu,100.0,0.00095706507820139,0.9,0.9626521651595041,,0.022991577496848232,constant,5.0,6,50.0,2.0,256.0,False,False,True,0.0902611625604276,35.0,True,False,0.36610730780935163,COMPLETE
52,52,12.8,2024-07-01 11:24:10.166954,2024-07-01 11:38:27.112087,0 days 00:14:16.945133,elu,100.0,6.926218759549984e-07,0.95,0.9507110809147992,,0.00013758835943977667,constant,0.3,8,50.0,2.0,8.0,False,False,True,0.0009194631888492232,18.0,True,False,0.3482010201177716,COMPLETE
53,53,5.2,2024-07-01 11:28:13.980378,2024-07-01 11:43:15.152954,0 days 00:15:01.172576,leaky_relu,5.0,0.00043512576773588785,0.98,0.9595282740628023,,0.06689290121387292,linear,2.0,6,20.0,1.0,256.0,True,False,False,0.0009107746490519882,62.0,True,False,0.6245534442572755,COMPLETE
54,54,10.6,2024-07-01 11:28:14.185873,2024-07-01 11:49:43.940171,0 days 00:21:29.754298,tanh,100.0,0.015606165802196724,0.98,0.9850948642471696,,0.010516064437440322,constant,0.9,8,5.0,1.0,128.0,False,True,False,0.00878491226594559,10.0,False,False,0.3243017893709718,COMPLETE
55,55,53.828123000000005,2024-07-01 11:38:27.172031,2024-07-01 11:52:41.900757,0 days 00:14:14.728726,elu,100.0,0.002990168963501377,0.98,0.9577671359202817,,0.016812258411211475,linear,0.9,6,100.0,2.0,8.0,False,False,True,0.0013429123736066436,12.0,True,False,0.2958313619180386,COMPLETE
56,56,187.2736026,2024-07-01 11:43:15.207780,2024-07-01 11:57:36.187053,0 days 00:14:20.979273,relu,100.0,0.00043244536026724995,0.98,0.9413575331698466,,0.0015818018798587463,constant,5.0,8,50.0,2.0,16.0,False,True,True,0.0060405060316297806,9.0,True,False,0.17961018114952673,COMPLETE
57,57,236.7532878,2024-07-01 11:49:43.991362,2024-07-01 12:04:55.139315,0 days 00:15:11.147953,relu,100.0,3.0479895544269396e-06,0.92,0.9648964446442365,,0.006985804352606256,constant,0.9,8,50.0,2.0,256.0,False,True,True,0.0454571297554844,21.0,True,False,0.29778105074377537,COMPLETE
58,58,271.9915772,2024-07-01 11:52:41.949755,2024-07-01 12:09:04.778275,0 days 00:16:22.828520,tanh,50.0,0.011854980370690018,0.95,0.9558743854200938,,0.0035924643198957276,linear,0.5,6,20.0,1.0,64.0,False,False,False,0.00028649334826856055,77.0,True,True,0.3854841820515975,COMPLETE
59,59,94.1511802,2024-07-01 11:57:36.235187,2024-07-01 12:14:01.653012,0 days 00:16:25.417825,elu,50.0,0.0026028491057355015,0.98,0.976239441443586,,0.011562324209286297,linear,0.5,6,20.0,1.0,256.0,False,False,False,5.7749550284123965e-05,89.0,False,True,0.5927708437312824,COMPLETE
60,60,213.51870739999998,2024-07-01 12:04:55.186589,2024-07-01 12:20:19.762683,0 days 00:15:24.576094,tanh,10.0,1.946110987831214e-05,0.9,0.9450216793365309,,0.001140293945879781,linear,0.5,6,20.0,1.0,16.0,False,False,False,0.0033526669154125177,91.0,True,True,0.28692773841077723,COMPLETE
61,61,251.2952464,2024-07-01 12:09:04.828130,2024-07-01 12:22:49.244162,0 days 00:13:44.416032,tanh,50.0,0.000620972141373467,0.99,0.9345570536675197,,0.04699046089662912,linear,0.5,6,200.0,1.0,64.0,True,True,False,0.0002752322926381474,69.0,True,True,0.3124569785472162,COMPLETE
62,62,4.2,2024-07-01 12:14:01.714651,2024-07-01 12:35:21.979266,0 days 00:21:20.264615,relu,50.0,0.00016905414374198777,0.98,0.9745673134843423,,0.025721017763306868,constant,0.3,8,5.0,2.0,256.0,False,False,True,0.08289046459708735,10.0,True,False,0.4325631443845581,COMPLETE
63,63,98.46759260000002,2024-07-01 12:20:19.805319,2024-07-01 12:35:17.970260,0 days 00:14:58.164941,relu,100.0,0.0004307839015208684,0.98,0.9398310910860639,,0.005649052386517908,linear,0.9,8,50.0,2.0,256.0,False,False,True,0.0090090382236345,19.0,True,False,0.8227534659718436,COMPLETE
64,64,264.9525458,2024-07-01 12:22:49.286348,2024-07-01 12:35:55.092817,0 days 00:13:05.806469,elu,100.0,0.012667882589239194,0.98,0.9963321097560889,,0.0007523701697893417,constant,0.9,8,200.0,2.0,8.0,False,False,True,0.007353678493540531,8.0,True,False,0.20911431114074958,COMPLETE
65,65,7.3,2024-07-01 12:35:18.018740,2024-07-01 12:50:29.528048,0 days 00:15:11.509308,elu,100.0,0.0005000173029743038,0.98,0.9682914602820283,,0.011002309018492704,constant,1.0,8,10.0,1.0,8.0,False,False,True,0.012102642575058454,2.0,True,False,0.324284097599957,COMPLETE
66,66,79.2603356,2024-07-01 12:35:22.014948,2024-07-01 12:51:17.381574,0 days 00:15:55.366626,tanh,50.0,0.09322340096547643,0.95,0.9570639096939365,,0.00013955841153440046,constant,0.5,6,20.0,1.0,64.0,False,False,False,0.0025372143117197497,60.0,False,True,0.38523252685741344,COMPLETE
67,67,7.810612399999999,2024-07-01 12:35:55.152154,2024-07-01 12:53:06.239995,0 days 00:17:11.087841,tanh,50.0,0.00014832618400765116,0.98,0.9542566564576663,,0.0004531870448529626,linear,0.5,6,10.0,1.0,64.0,False,False,False,4.290411404594764e-05,62.0,True,True,0.5270736891827511,COMPLETE
68,68,267.64198799999997,2024-07-01 12:50:29.573097,2024-07-01 13:07:07.045226,0 days 00:16:37.472129,tanh,50.0,0.0761199050186879,0.95,0.9594781427161853,,0.0002189352071445993,linear,0.5,6,20.0,2.0,64.0,False,False,False,0.00036363176976158553,64.0,True,True,0.4649957922173102,COMPLETE
69,69,59.7721844,2024-07-01 12:51:17.427923,2024-07-01 13:06:04.958731,0 days 00:14:47.530808,tanh,50.0,0.03669557759045149,0.95,0.9692355960569252,,0.006979320959225843,linear,0.5,6,20.0,1.0,8.0,False,False,True,0.0008273131827919231,84.0,True,True,0.3898005676044496,COMPLETE
70,70,270.384906,2024-07-01 12:53:06.290362,2024-07-01 13:09:08.220381,0 days 00:16:01.930019,relu,100.0,0.0016053059753394355,0.98,0.951257919692022,,0.06843351491376067,constant,0.9,8,200.0,2.0,256.0,False,False,True,0.01528260639621332,8.0,True,True,0.31702684511299783,COMPLETE
71,71,262.3369904,2024-07-01 13:06:05.010665,2024-07-01 13:22:34.010050,0 days 00:16:28.999385,leaky_relu,10.0,0.03796820079824755,1.0,0.9981591050586707,,0.11313377429760253,linear,2.0,8,100.0,3.0,512.0,False,True,True,0.007336899980452528,67.0,True,False,0.1298305305153942,COMPLETE
72,72,215.4883412,2024-07-01 13:07:07.102501,2024-07-01 13:22:43.225632,0 days 00:15:36.123131,tanh,50.0,0.011704725364305248,0.98,0.9682204432023184,,0.003236356257404639,linear,0.5,6,200.0,1.0,256.0,False,False,False,0.024713303559320877,86.0,True,True,0.40027234884600693,COMPLETE
73,73,259.12218140000004,2024-07-01 13:09:08.267937,2024-07-01 13:22:49.276633,0 days 00:13:41.008696,tanh,50.0,0.0009183261845399523,0.95,0.9922574600211205,,0.0735929825540809,constant,0.9,8,100.0,1.0,128.0,False,True,False,0.0325515476961988,8.0,True,False,0.08177373619444506,COMPLETE
74,74,270.384906,2024-07-01 13:22:34.069731,2024-07-01 13:36:27.810885,0 days 00:13:53.741154,tanh,100.0,0.00041729754766053645,0.98,0.9589702367814625,,0.0011841208009334987,constant,2.0,6,20.0,1.0,256.0,False,False,False,0.0003283356641418114,67.0,True,True,0.6611748019100854,COMPLETE
75,75,4.973689,2024-07-01 13:22:43.261777,2024-07-01 13:40:22.451883,0 days 00:17:39.190106,leaky_relu,50.0,0.007268214652375718,1.0,0.9837028478327148,,0.05057230170459039,linear,2.0,8,5.0,2.0,64.0,True,True,False,0.0006454973453703411,40.0,True,False,0.34454091550948157,COMPLETE
